country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,644,661,694,726,748,761,776,794,809,824,842,870,891,931,976,1010,1050,1090,1150,1200,1260,1330,1400,1470,1530,1590,1680,1770,1870,1950
Angola,383,400,421,447,470,484,487,509,553,598,627,646,689,746,805,835,872,900,962,1030,1100,1180,1250,1310,1360,1460,1560,1690,1820,1940
Albania,221,239,247,252,254,280,300,318,337,376,392,397,434,478,501,540,557,567,605,617,633,641,651,662,675,695,710,722,733,743
Andorra,17.4,18.8,20.4,22.6,23.9,24.2,25.1,26.4,27.9,29.1,30.2,31.3,32.5,34.2,36.3,37,38.4,39.3,40.9,42.5,43.9,42.4,42.6,44.1,46,47.8,48.9,50.5,52.1,53.6
UAE,86.5,96.5,106,117,127,141,154,165,177,191,207,224,239,259,275,294,315,347,376,415,458,514,573,649,757,836,921,1010,1110,1220
Argentina,8880,9160,9640,10000,10.3k,10.7k,11.2k,11.7k,12.2k,12.7k,12.6k,12.9k,13.1k,13.7k,13.6k,13.7k,14k,14.5k,14.2k,14.8k,14.8k,15k,15.3k,15.3k,15.2k,15.7k,16.6k,17.2k,17.4k,17.7k
Armenia,926,931,1040,1090,1060,1130,1220,1230,1300,1350,1380,1410,1380,1400,1350,1350,1320,1280,1300,1300,1310,1300,1290,1230,1220,1290,1270,1300,1330,1350
American Samoa,4.44,4.62,4.82,5.14,5.6,6.04,6.47,6.83,7.34,7.92,8.37,8.71,8.82,9,9.11,9.34,9.65,9.97,10.3,10.6,10.8,11.5,12.3,12.9,13.3,13.7,13.9,14,14.2,14.4
Antigua and Barbuda,14.2,15.1,15.7,16.8,17.5,18,18.7,18.9,19.5,20.2,21.1,21.9,22.9,23.5,24.4,25.3,26.4,27.8,29,30.2,31.8,33.4,35.3,36.8,38.8,40.2,41.7,42.8,44,45
Australia,7930,8370,8910,9210,9940,10.2k,10.6k,11.1k,11.3k,11.5k,11.9k,12k,12.6k,12.6k,12.8k,12.6k,12.8k,13.3k,13.4k,13.8k,13.7k,14k,13.8k,14.1k,14.5k,14.8k,14.7k,14.9k,15.3k,15.5k
Austria,4560,4640,4760,4990,5050,5040,5120,4910,5010,5160,5250,5140,5210,5430,5220,5390,5240,5370,5360,5530,5510,5650,5590,5600,5800,5780,5750,5560,5600,5630
Azerbaijan,951,974,1020,1060,1090,1100,1100,1110,1130,1150,1120,1090,1110,1150,1190,1270,1340,1450,1550,1640,1710,1770,1830,1840,1900,1970,2050,2130,2210,2290
Burundi,288,295,301,311,315,320,326,328,330,329,325,317,317,325,335,342,344,348,356,368,385,400,419,434,448,460,475,495,525,548
Belgium,7570,7590,7920,7970,8360,8390,8370,8530,8860,8680,8850,8880,9080,9230,9150,9230,8940,9210,8820,9220,9340,9500,9390,9680,9310,9640,9360,9420,9520,9630
Benin,176,182,188,196,208,219,230,239,249,259,270,280,290,301,313,327,340,355,372,394,417,441,462,479,500,517,545,577,602,634
Burkina Faso,523,526,536,546,558,574,589,616,645,663,684,685,685,722,763,802,829,850,860,885,934,979,1030,1100,1170,1240,1330,1420,1510,1570
Bangladesh,4950,4940,5390,5690,6000,6480,6670,6790,6910,7140,7600,7790,8020,8170,8340,8810,9140,9410,9760,10.3k,10.9k,11.2k,11.9k,12.4k,12.9k,13.7k,14.6k,15.5k,16.6k,17.7k
Bulgaria,3360,3290,3140,2790,2780,2760,2780,2920,2780,2810,2930,3040,3200,3370,3720,4020,4270,4400,4480,4570,4740,4860,4850,4850,5160,5160,5090,5060,5080,5040
Bahrain,46.9,50.1,52.9,55.3,57.1,59.4,65.3,72.6,82.8,92.4,101,110,122,129,137,145,156,166,178,189,197,204,216,229,250,268,287,307,324,346
Bahamas,74.2,75,75.7,80.6,85,90.3,97.6,99.3,103,108,113,121,125,131,136,139,151,152,158,166,175,185,187,195,191,192,196,200,204,209
Bosnia and Herzegovina,644,693,712,712,712,710,723,772,791,867,935,1030,1120,1190,1270,1300,1360,1460,1410,1440,1480,1470,1490,1530,1560,1600,1570,1580,1600,1610
Belarus,3140,3330,3520,3750,3700,3660,3700,3840,3900,4010,3640,3750,3700,3540,3530,3530,3490,3460,3460,3630,3730,3890,3560,3660,3730,3710,3840,3940,4030,4120
Belize,8.78,9.16,9.54,10,10.8,11.9,13.5,14.9,15.8,16,16.9,17.9,18.7,19.5,20.8,22.6,24.5,25.8,26.5,28,30.4,32.2,34,35.1,36,36.4,37.3,39.1,41.4,43.3
Bermuda,32.6,34.1,35.9,37.9,38.9,38.9,39.5,40.2,41.2,41.8,42.2,41.9,42.6,42.1,41.5,41.3,41,41.1,41.6,42.6,43.1,43,43.6,44.6,45.6,46.7,47.9,48.6,49.3,49.9
Bolivia,419,445,479,506,534,559,582,627,650,668,706,738,783,821,864,899,938,1000,1040,1080,1120,1180,1220,1260,1240,1320,1480,1540,1620,1680
Brazil,16.7k,17.4k,18.5k,20.1k,21.4k,22.7k,24k,25.1k,26.8k,28.1k,29.3k,30.5k,32k,33.3k,34.7k,35.5k,37k,38.1k,39.4k,40.7k,41.9k,43.6k,44.6k,45.8k,46.5k,47.8k,49.7k,49.8k,50.6k,51.9k
Barbados,101,104,108,112,112,115,117,121,128,136,142,146,154,162,167,169,172,181,190,203,212,224,227,228,233,236,239,243,248,252
Brunei,31.1,32.1,33.2,34.4,35.4,36.3,37.4,38.6,40.4,42.9,45.1,48,52.2,57.2,62.1,65.9,70.9,75.4,78.9,83.9,90.2,96.2,102,108,115,121,126,131,136,141
Bhutan,22.3,22.9,23.5,24.4,25.2,26.3,26.8,27.9,28.8,28.9,29.9,29.8,30,30.9,31.8,32.9,34,35.5,37.2,39.1,41.3,43.5,45.6,47.6,49.7,51.8,54.2,56.6,59.6,62.3
Botswana,87.3,94.3,102,109,115,121,124,127,137,149,165,179,192,198,198,197,201,213,236,252,271,295,312,334,357,373,384,401,421,438
Central African Republic,160,164,161,169,173,177,186,188,193,197,199,204,211,217,223,227,233,237,240,248,261,273,280,289,292,297,304,312,322,331
