country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,274,277,284,288,288,288,289,290,290,291,293,298,305,317,329,339,349,361,375,390,405,423,443,464,484,502,524,548,571,592
Angola,118,121,125,130,133,135,136,140,149,157,162,165,173,183,193,200,210,220,236,251,268,285,302,317,329,349,369,391,415,438
Albania,76.4,79.1,77.9,75.7,73.1,76.1,78.7,81.5,84.5,89.7,91.5,93.4,101,110,113,118,120,122,127,129,134,139,144,150,155,161,167,172,178,183
Andorra,3.19,3.39,3.62,3.85,4.04,4.1,4.21,4.38,4.53,4.71,4.9,5.11,5.35,5.55,5.85,6.04,6.31,6.55,6.79,7.11,7.36,7.27,7.41,7.64,7.92,8.2,8.38,8.65,8.87,9.11
UAE,22.4,23.8,25.3,26.9,28.7,30.4,32,33.5,35,36.6,38.3,40,41.6,45.6,49.5,51.3,52.8,60,62,65.6,69.4,73.9,79.1,84.1,86.6,94.4,103,112,122,134
Argentina,3070,3120,3220,3310,3380,3500,3670,3890,4120,4290,4300,4410,4510,4640,4640,4650,4720,4870,4810,4880,5000,5080,5130,5200,5250,5410,5690,5870,5900,6010
Armenia,201,203,219,220,203,214,223,223,235,240,246,253,255,267,263,267,272,270,275,274,282,291,297,296,298,311,309,313,317,320
American Samoa,1.35,1.39,1.44,1.5,1.57,1.63,1.69,1.74,1.86,1.93,1.95,1.92,1.95,1.98,2.01,2.09,2.17,2.22,2.31,2.4,2.48,2.62,2.76,2.84,2.91,2.97,2.99,3.06,3.11,3.17
Antigua and Barbuda,3.77,4.06,4.15,4.6,4.71,4.79,4.92,4.94,5.04,5.16,5.26,5.36,5.53,5.56,5.62,5.69,5.87,6.08,6.25,6.44,6.66,6.92,7.23,7.6,7.99,8.3,8.65,8.84,9.02,9.2
Australia,2150,2160,2210,2220,2290,2300,2340,2370,2380,2380,2410,2430,2460,2440,2420,2400,2410,2470,2500,2500,2520,2560,2560,2590,2670,2780,2800,2880,3040,3140
Austria,1700,1700,1680,1670,1630,1610,1600,1550,1530,1520,1480,1420,1390,1380,1310,1290,1250,1220,1210,1200,1190,1190,1190,1170,1170,1150,1130,1110,1130,1160
Azerbaijan,262,264,269,268,265,252,240,230,227,227,226,225,233,248,262,281,301,326,348,370,388,402,416,425,438,448,461,474,481,492
Burundi,84,85.3,86.4,87.9,88.1,88.3,88.2,87.5,87.3,86.5,85.6,84,84,85,86.7,88.1,88.7,89.3,90.7,92.9,96.6,99.9,104,108,111,114,117,121,126,131
Belgium,2170,2140,2170,2150,2150,2100,2070,2040,2030,1980,1950,1920,1930,1920,1880,1870,1830,1830,1770,1870,1910,1940,1970,2000,1960,2010,1980,2010,2060,2100
Benin,50.7,51.5,52.8,54.3,56.3,58.6,60.8,62.9,65.2,67.8,71.1,73.9,77.5,80.5,84,87.4,91.5,94.9,99.9,105,110,116,120,125,130,134,139,146,151,158
Burkina Faso,101,101,103,105,108,110,112,116,121,123,127,128,132,137,144,151,156,159,164,168,178,185,195,208,219,233,246,262,277,288
Bangladesh,837,798,827,837,853,889,894,901,929,969,1020,1040,1080,1110,1150,1210,1270,1310,1370,1460,1570,1640,1740,1850,1970,2100,2260,2440,2610,2790
Bulgaria,1060,1010,952,853,841,833,847,879,856,873,918,950,1010,1070,1190,1310,1420,1490,1520,1540,1570,1580,1550,1520,1570,1570,1540,1540,1580,1590
Bahrain,7.49,7.85,8.21,8.47,8.61,8.79,9.27,9.64,9.9,10.7,11.2,11.4,12.7,13.5,14.7,16,16.9,17.4,18,18.7,18.8,19.2,19.8,20.7,22.2,23.4,25,26.8,28.1,30
